timestamp,anchor_id,range_front,sigma_front,range_rear,sigma_rear
6.9,2,7.711545,0.02,7.541876,0.02
6.9,3,1.233574,0.02,0.980676,0.02
6.9,4,6.922072,0.02,7.008761,0.02
6.9,5,2.777584,0.02,3.31174,0.02
6.9,6,3.828876,0.02,4.371248,0.02
6.9,7,7.360148,0.02,7.716071,0.02
7.0,0,3.649517,0.02,3.018298,0.02
7.0,1,4.512398,0.02,4.133281,0.02
7.0,2,7.723029,0.02,7.581787,0.02
7.0,3,1.21311,0.02,0.966532,0.02
7.0,4,6.91707,0.02,7.038219,0.02
7.0,5,2.724887,0.02,3.263929,0.02
7.0,6,3.826972,0.02,4.348503,0.02
7.0,7,7.332501,0.02,7.709362,0.02
7.1,0,3.649578,0.02,3.049524,0.02
7.1,1,4.510021,0.02,4.184238,0.02
7.1,2,7.694998,0.02,7.618722,0.02
7.1,3,1.212669,0.02,0.998745,0.02
7.1,4,6.882288,0.02,7.033834,0.02
7.1,5,2.707963,0.02,3.275276,0.02
7.1,6,3.807759,0.02,4.378799,0.02
